"Id";"Name";"ParentId";"Depth";"Classification";"Jurisdiction"
"45649";"100. Schule - Grundschule der Stadt Leipzig (Leipzig OT Zentrum)";;"0";"Grundschule";"Sachsen"
"45206";"101. Oberschule ""Johannes Gutenberg "" (Dresden OT Johannstadt-Nord)";;"0";"Schule";"Sachsen"
"45885";"102. Grundschule Dresden ""Johanna "" (Dresden OT Johannstadt-Nord)";;"0";"Grundschule";"Sachsen"
"45884";"103. Grundschule Dresden ""Unterm Regenbogen "" (Dresden OT Radeberger Vorstadt)";;"0";"Grundschule";"Sachsen"
"45883";"106. Grundschule Dresden (Dresden OT Pieschen-Nord)";;"0";"Grundschule";"Sachsen"
"45204";"107. Oberschule Dresden (Dresden OT Gruna)";;"0";"Schule";"Sachsen"
"45882";"108. Grundschule Dresden ""Sonnenblumenschule "" (Dresden OT Innere Altstadt)";;"0";"Grundschule";"Sachsen"
"44120";"10. Grundschule Dresden (Dresden OT Seevorstadt-Ost/GroÃer Garten)";;"0";"Grundschule";"Sachsen"
"45881";"113. Grundschule Dresden ""Canaletto "" (Dresden OT Innere Altstadt)";;"0";"Grundschule";"Sachsen"
"45203";"116. Oberschule Dresden (Dresden OT Leubnitz-Neuostra)";;"0";"Schule";"Sachsen"
"44121";"117. Grundschule Dresden ""Ludwig Reichenbach "" (Dresden OT SÃ¼dvorstadt-Ost)";;"0";"Grundschule";"Sachsen"
"45879";"120. Grundschule Dresden ""Am Geberbach "" (Dresden OT Prohlis-Nord)";;"0";"Grundschule";"Sachsen"
"45648";"120. Schule - Grundschule der Stadt Leipzig (Leipzig OT GroÃzschocher)";;"0";"Grundschule";"Sachsen"
"45202";"121. Oberschule Dresden ""Johann Georg Palitzsch "" (Dresden OT Prohlis-Nord)";;"0";"Schule";"Sachsen"
"45878";"122. Grundschule Dresden ""Am Palitzschhof "" (Dresden OT Prohlis-Nord)";;"0";"Grundschule";"Sachsen"
"45103";"125. Schule - Oberschule der Stadt Leipzig (Leipzig OT Reudnitz-Thonberg)";;"0";"Schule";"Sachsen"
"45201";"128. Oberschule ""Carola von Wasa "" (Dresden OT Strehlen)";;"0";"Schule";"Sachsen"
"45877";"129. Grundschule Dresden (Dresden OT Strehlen)";;"0";"Grundschule";"Sachsen"
"45880";"12. Grundschule Dresden (Dresden OT Cotta)";;"0";"Grundschule";"Sachsen"
"45876";"135. Grundschule Dresden (Dresden OT Gorbitz-SÃ¼d)";;"0";"Grundschule";"Sachsen"
"45190";"138. Oberschule Dresden (Dresden OT Gorbitz-Nord/Neu-Omsewitz)";;"0";"Schule";"Sachsen"
"45875";"139. Grundschule Dresden (Dresden OT Gorbitz-Nord/Neu-Omsewitz)";;"0";"Grundschule";"Sachsen"
"45873";"144. Grundschule Dresden (Dresden OT Mickten)";;"0";"Grundschule";"Sachsen"
"45200";"145. Oberschule Dresden-Pieschen (Dresden OT Pieschen-SÃ¼d)";;"0";"Schule";"Sachsen"
"45872";"147. Grundschule Dresden (Dresden OT Pieschen-Nord)";;"0";"Grundschule";"Sachsen"
"45871";"148. Grundschule Dresden (Dresden OT Leipziger Vorstadt)";;"0";"Grundschule";"Sachsen"
"45874";"14. Grundschule Dresden ""Im Schweizer Viertel "" (Dresden OT SÃ¼dvorstadt-West)";;"0";"Grundschule";"Sachsen"
"45869";"153. Grundschule Dresden (Dresden OT Friedrichstadt)";;"0";"Grundschule";"Sachsen"
"45647";"157. Schule - Grundschule der Stadt Leipzig (Leipzig OT Leutzsch)";;"0";"Grundschule";"Sachsen"
"45870";"15. Grundschule Dresden (Dresden OT ÃuÃere Neustadt)";;"0";"Grundschule";"Sachsen"
"45868";"16. Grundschule Dresden ""Josephine "" (Dresden OT Seevorstadt-West)";;"0";"Grundschule";"Sachsen"
"45102";"16. Schule - Oberschule der Stadt Leipzig (Leipzig OT Volkmarsdorf)";;"0";"Schule";"Sachsen"
"45867";"19. Grundschule Dresden (Dresden OT Radeberger Vorstadt)";;"0";"Grundschule";"Sachsen"
"45733";"1. Grundschule GroÃenhain (GroÃenhain)";;"0";"Grundschule";"Sachsen"
"45395";"1. Grundschule Riesa ""KÃ¤the Kollwitz "" (Riesa)";;"0";"Grundschule";"Sachsen"
"45136";"1. Oberschule GroÃenhain ""Am Kupferberg "" (GroÃenhain)";;"0";"Schule";"Sachsen"
