Id;Name;ParentId;Depth;Classification;Jurisdiction;ResolvedMinistry
2;Absatzförderungsfonds der deutschen Forst- und Holzwirtschaft - Holzabsatzfonds;90.0;1;Wirtschaftsförderung;Bund;Bundesministerium für Ernährung und Landwirtschaft (BMEL)
3;Absatzförderungsfonds der deutschen Land- und Ernährungswirtschaft - Absatzfonds;90.0;1;Wirtschaftsförderung;Bund;Bundesministerium für Ernährung und Landwirtschaft (BMEL)
50120;Afghan Credit Guarantee Foundation;;0;Stiftung des Privatrechts;Bund;Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ)
14254;Agentur für Arbeit Aachen – Düren;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14255;Agentur für Arbeit Aalen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14256;Agentur für Arbeit Ahlen – Münster;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14257;Agentur für Arbeit Altenburg – Gera;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14258;Agentur für Arbeit Annaberg-Buchholz;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14259;Agentur für Arbeit Ansbach – Weißenburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11074;Agentur für Arbeit Aschaffenburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11075;Agentur für Arbeit Augsburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14260;Agentur für Arbeit Bad Hersfeld – Fulda;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14261;Agentur für Arbeit Bad Homburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14262;Agentur für Arbeit Bad Kreuznach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14263;Agentur für Arbeit Bad Oldeslohe;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14264;Agentur für Arbeit Balingen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11076;Agentur für Arbeit Bamberg-Coburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14265;Agentur für Arbeit Bautzen;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
11077;Agentur für Arbeit Bayreuth-Hof;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14266;Agentur für Arbeit Bergisch Gladbach;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14252;Agentur für Arbeit Berlin Mitte;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14267;Agentur für Arbeit Berlin Nord;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14253;Agentur für Arbeit Berlin Süd;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14268;Agentur für Arbeit Bernburg;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14269;Agentur für Arbeit Bielefeld;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
5768;Agentur für Arbeit Blieskastel;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14270;Agentur für Arbeit Bochum;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14271;Agentur für Arbeit Bonn;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14272;Agentur für Arbeit Braunschweig – Goslar;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
6618;Agentur für Arbeit Bremen-Bremerhaven;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14273;Agentur für Arbeit Brühl;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14274;Agentur für Arbeit Celle;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14275;Agentur für Arbeit Chemnitz;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
14276;Agentur für Arbeit Coesfeld;88.0;0;Agentur für Arbeit;Bund;Bundesministerium für Arbeit und Soziales (BMAS)
