Organisation;Adresse;PLZ;Ort;Telefon;Telefax;E-Mail;Internetadresse
1. Panzerdivision;Bümmersteder Tredde 34;26133;Oldenburg;+49 441 360-2021;;1.PzDivPressestelle@Bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/1-panzerdivision
10. Panzerdivision;Oberdürrbacher Straße 2a;97209;Veitshöchheim;+49 931 9707-3160;;10.PzDivPressestelle@bundeswehr.org;https://www.bundeswehr.de/de/organisation/heer/organisation/10-panzerdivision
ABC-Abwehrkommando der Bundeswehr;Am Eichelberg, ;76646;Bruchsal;+49 7251 938 2020;+49 7251 938 2500;ABCAbwKdoBwPresse@bundeswehr.org;https://www.bundeswehr.de/de/organisation/unterstuetzungsbereich/abc-abwehr-bundeswehr/abc-abwehrkommando-der-bundeswehr-in-bruchsal
Abschlussprüferaufsichtsstelle;Uhlandstraße 88-90;10717;Berlin;+49 6196 908-0;;infoapas@apasbafa.bund.de;https://www.apasbafa.bund.de/APAS/DE/Home/home_node.html
Adalbert-Stifter-Verein e. V.;Hochstraße 8;81669;München;+49 89 622716-30;;sekretariat@stifterverein.de;https://www.stifterverein.de/startseite/
AIF-Allianz für Industrie und Forschung e. V.;Johannisstraße 79;50968;Köln;+49 221 37680-0;;info@aif.de;https://www.aif.de
Akademie der Künste;Pariser Platz 4;10117;Berlin;+49 30 200 57-0/-1000;+49 30 200 57-1702;info@adk.de;https://www.adk.de/
Akademie für Raumentwicklung in der Leibniz-Gemeinschaft;Vahrenwalder Straße 247;30179;Hannover;+49 511 34842-0;+49 511 34842-41;arl@arl-net.de;https://www.arl-net.de
Aktionsgemeinschaft Dienst für den Frieden e. V.;Endenicherstr. 41;53115;Bonn;+49 228 24999-0;+49 228 24999-20;Agdf@friedensdienst.de;https://www.friedensdienst.de
Alexander von Humboldt-Stiftung;Jean-Paul-Straße 12;53173;Bonn;+49 228 833-0;+49 228 833-199;info@avh.de;https://www.humboldt-foundation.de
Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung;Am Handelshafen 12;27570;Bremerhaven;+49 471 4831-0;+49 471 4831-1149;info@awi.de;https://www.awi.de/
Allgemeine Ortskrankenkasse Baden-Württemberg;Presselstraße 19;70191;Stuttgart;+49 711 76161923;;info@bw.aok.de;https://www.aok.de/pk/bw/
Allgemeine Ortskrankenkasse Bayern;Carl-Wery-Straße 28;81739;München;+49 89 228 44050;;;https://www.aok.de/pk/bayern/
Allgemeine Ortskrankenkasse Bremen/Bremerhaven;Bürgermeister-Smidt-Straße 95;28195;Bremen;+49 421 1761-0;+49 421 1761-91991;info@hb.aok.de;https://www.aok.de/pk/bremen/
Allgemeine Ortskrankenkasse Hessen;Basler Straße 2;61352;Bad Homburg;+49 69 66816-334000;+49 6985 091-7920;;https://www.aok.de/pk/hessen/
Allgemeine Ortskrankenkasse Niedersachsen;Hildesheimer Straße 273;30519;Hannover;+49 511 8701-0;+49 511 8701-15989;aok.niedersachsen@nds.aok.de;https://www.aok.de/pk/niedersachsen/
Allgemeine Ortskrankenkasse Nordost;N.N. ;14456;Potsdam;0800 2650800;;service@nordost.aok.de;https://www.aok.de/pk/nordost/
Allgemeine Ortskrankenkasse Nordwest;Kopenhagener Straße 1;44269;Dortmund;+49 800 265 5000;+49 800 265 2265;;https://www.aok.de/pk/nordwest/
Allgemeine Ortskrankenkasse Plus;Sternplatz 7;01067;Dresden;+49 800-105 900 0;+49 800-105 900 1;service@plus.aok.de;https://www.aok.de/pk/plus/
