Name,Abkuerzung,Geschaeftsbereich,Sitz,Kategorie,Mitarbeiteranzahl,Gruendungsjahr,Hauptsitz,Budget,Website,Rechtsform,Wikipedia_URL
Bundespräsidialamt,BPrA,,Bonn,Oberste Bundesbehörden,ca. 240 (2024),1949,Berlin,"44,65 Mio. Euro (2021) einschließlich Bundespräsident",,,https://de.wikipedia.org/wiki/Bundespräsidialamt
Verwaltung des Deutschen Bundestages,BT,,–,Oberste Bundesbehörden,~3200,1949,Berlin,,,,https://de.wikipedia.org/wiki/Verwaltung_des_Deutschen_Bundestages
Sekretariat des Bundesrates,BR,,Bonn,Oberste Bundesbehörden,,,,,,,https://de.wikipedia.org/wiki/Bundesrat_(Deutschland)#Sekretariat
Bundesverfassungsgericht (soweit als Behörde tätig),BVerfG,,–,Oberste Bundesbehörden,"16 Richter,insg. ca. 270 Mitarbeiter",7. September 1951,Stephan Harbarth (Präsident)Ann-Katrin Kaufhold (Vizepräsidentin),"44,5 Mio. EUR (2024)",https://www.bundesverfassungsgericht.de/,,https://de.wikipedia.org/wiki/Bundesverfassungsgericht
Bundesrechnungshof,BRH,,–,Oberste Bundesbehörden,1050 (2023),1950,Bonn,"195,97 Mio. EUR (2025)",,unabhängiges Organ der Finanzkontrolle,https://de.wikipedia.org/wiki/Bundesrechnungshof
Bundeskanzleramt,BKAmt,,Bonn,Oberste Bundesbehörden,ca. 900 (Stand: April 2024),1949,Berlin,"5,0 Mrd. € (2026) einschließlich Bundeskanzler",,,https://de.wikipedia.org/wiki/Bundeskanzleramt_(Deutschland)
Beauftragter der Bundesregierung für Kultur und Medien,BKM,,Berlin,Oberste Bundesbehörden,ca. 470 (Stand: 2025),,Bonn,"2,07 Mrd. EUR(Haushaltsjahr: 2024)",,,https://de.wikipedia.org/wiki/Beauftragter_der_Bundesregierung_für_Kultur_und_Medien
Presse- und Informationsamt der Bundesregierung,BPA,,Bonn,Oberste Bundesbehörden,540 (Sept. 2023),16. September 1949,Berlin,"141,847 Mio. EUR (2024)",,,https://de.wikipedia.org/wiki/Presse-_und_Informationsamt_der_Bundesregierung
Bundesministerium der Finanzen,BMF,,Bonn,Oberste Bundesbehörden,,1880 als Reichsschatzamt,Berlin,"10,82 Mrd. Euro (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_der_Finanzen
Bundesministerium des Innern,BMI,,Bonn,Oberste Bundesbehörden,2.165 (Soll 2021),1949,Berlin,"15,76 Mrd. Euro (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_des_Innern
Auswärtiges Amt,AA,,Bonn,Oberste Bundesbehörden,ca. 13.600,1870/1951,Berlin,"6,03 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Auswärtiges_Amt
Bundesministerium der Verteidigung,BMVg,,Berlin,Oberste Bundesbehörden,"2.927, 1.071 Soldaten und 1.856 zivile Mitarbeiter (April 2026)",7. Juni 1955 als Bundesministerium für Verteidigung,Bonn,"82,69 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_der_Verteidigung
Bundesministerium für Wirtschaft und Energie,BMWE,,Bonn,Oberste Bundesbehörden,2513 (Oktober 2025),23. Oktober 1917 als Reichswirtschaftsamt,Berlin,"5,90 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_für_Wirtschaft_und_Energie
"Bundesministerium für Forschung, Technologie und Raumfahrt",BMFTR,,Berlin,Oberste Bundesbehörden,ca. 1.500 (2025),20. Oktober 1955 als Bundesministerium für Atomfragen,Bonn,"21,82 Mrd. EUR (2026)",,,"https://de.wikipedia.org/wiki/Bundesministerium_für_Forschung,_Technologie_und_Raumfahrt"
Bundesministerium der Justiz und für Verbraucherschutz,BMJV,,Bonn,Oberste Bundesbehörden,676 (2026),20. September 1949; 1. Januar 1877 als Reichsjustizamt,Berlin,"1,213 Mrd. Euro (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_der_Justiz_und_für_Verbraucherschutz
"Bundesministerium für Bildung, Familie, Senioren, Frauen und Jugend",BMBFSFJ,,Bonn,Oberste Bundesbehörden,828 (2025),1953 als Bundesministerium für Familienfragen,Berlin,"16,664 Mrd. EUR (2026)",,,"https://de.wikipedia.org/wiki/Bundesministerium_für_Bildung,_Familie,_Senioren,_Frauen_und_Jugend"
Bundesministerium für Arbeit und Soziales,BMAS,,Bonn,Oberste Bundesbehörden,1.213 (2021) bzw. rund 1.400 (2025),1949 als Bundesministerium für Arbeit,Berlin,"197,34 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_für_Arbeit_und_Soziales
Bundesministerium für Digitales und Staatsmodernisierung,BMDS,,Bonn,Oberste Bundesbehörden,,6. Mai 2025,Berlin,"1,36 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_für_Digitales_und_Staatsmodernisierung
Bundesministerium für Verkehr,BMV,,Bonn,Oberste Bundesbehörden,ca. 1245,20. September 1949,Berlin,"27,90 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_für_Verkehr_(Deutschland)
"Bundesministerium für Umwelt, Klimaschutz, Naturschutz und nukleare Sicherheit",BMUKN,,Berlin,Oberste Bundesbehörden,1214,"6. Juni 1986(als Bundesministerium für Umwelt, Naturschutz und Reaktorsicherheit)",Bonn,"2,77 Mrd. EUR (2026)",,,"https://de.wikipedia.org/wiki/Bundesministerium_für_Umwelt,_Klimaschutz,_Naturschutz_und_nukleare_Sicherheit"
Bundesministerium für Gesundheit,BMG,,Berlin,Oberste Bundesbehörden,rd. 1.055 (per 30. Juni 2023: 555 Beamte und 500 Arbeitnehmer),1961,Bonn,"21,77 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_für_Gesundheit_(Deutschland)
"Bundesministerium für Landwirtschaft, Ernährung und Heimat",BMLEH,,Berlin,Oberste Bundesbehörden,ca. 1100,13. Februar 1919 als Reichsministerium für Ernährung und Landwirtschaft,Bonn,"6,99 Mrd. EUR (2026)",,,"https://de.wikipedia.org/wiki/Bundesministerium_für_Landwirtschaft,_Ernährung_und_Heimat"
Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,BMZ,,Berlin,Oberste Bundesbehörden,ca. 1184,14. November 1961,Bonn,"10,06 Mrd. EUR (2026)",,,https://de.wikipedia.org/wiki/Bundesministerium_für_wirtschaftliche_Zusammenarbeit_und_Entwicklung
"Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen",BMWSB,,Bonn,Oberste Bundesbehörden,493 (2025),"20. September 1949(als Bundesministerium für Wiederaufbau) 8. Dezember 2021(als Bundesministerium für Wohnen, Stadtentwicklung und Bauwesen)",Berlin,"7,75 Mrd. EUR (2026)",,,"https://de.wikipedia.org/wiki/Bundesministerium_für_Wohnen,_Stadtentwicklung_und_Bauwesen"
Zentrale der Deutschen Bundesbank (einer obersten Bundesbehörde gleichgestellt),BBk,,–,Oberste Bundesbehörden,,,,,,,https://de.wikipedia.org/wiki/Deutsche_Bundesbank
Bundesbeauftragter für den Datenschutz und die Informationsfreiheit,BfDI,,–,Oberste Bundesbehörden,369 laut Tätigkeitsbericht 2024,1. Januar 1978,Bonn,"47,8 Mio. EUR (2024)",,,https://de.wikipedia.org/wiki/Bundesbeauftragter_für_den_Datenschutz_und_die_Informationsfreiheit
Bundesgerichtshof (soweit als Behörde tätig),BGH,,Leipzig,Oberste Bundesbehörden,,,Karlsruhe,"60,1 Mio. EUR (2024)",https://www.bundesgerichtshof.de/,,https://de.wikipedia.org/wiki/Bundesgerichtshof
Bundesarbeitsgericht (soweit als Behörde tätig),BAG,,–,Oberste Bundesbehörden,,,Erfurt,"18,5 Mio. EUR (2024)",https://www.bundesarbeitsgericht.de/,,https://de.wikipedia.org/wiki/Bundesarbeitsgericht
Bundesfinanzhof (soweit als Behörde tätig),BFH,,–,Oberste Bundesbehörden,,,München,"21,7 Mio. EUR (2024)",https://www.bundesfinanzhof.de/,,https://de.wikipedia.org/wiki/Bundesfinanzhof
