Firma,Rechtsform,Sitz,Beteiligungsfuehrung,Anteil_unmittelbar,Beteiligungsart,Kategorie,Mitarbeiteranzahl,Gruendungsjahr,Hauptsitz,Budget,Website_Infobox,Wikipedia_URL
50Hertz Transmission,GmbH,Berlin,BMWE,KfW,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/50Hertz_Transmission
Agentur für Innovation in der Cybersicherheit (Cyberagentur),GmbH,Halle (Saale),BMI und BMVg,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Agentur_für_Innovation_in_der_Cybersicherheit
ALDB,GmbH,Berlin,BMI,BDBOS,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/ALDB
Airbus,SE,Leiden,BMWE,GZBV,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Airbus
Autobahn GmbH des Bundes,GmbH,Berlin,BMV,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Die_Autobahn_GmbH_des_Bundes
Bayreuther Festspiele,GmbH,Bayreuth,BKM,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Bayreuther_Festspiele
Berliner Energieagentur,GmbH,Berlin,,KfW,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,
BGZ Gesellschaft für Zwischenlagerung,GmbH,Essen,BMUKN,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/BGZ_Gesellschaft_für_Zwischenlagerung
BGE TECHNOLOGY,GmbH,Peine,BMUKN,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,
Brückeninstitut DREI,AG,,,Restrukturierungsfonds für Institute (RSF),unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,
Bundesagentur für Sprunginnovationen (SprinD),GmbH,Leipzig,BMWE und BMFTR,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Bundesagentur_für_Sprunginnovationen
Bundesdruckerei Gruppe,GmbH,Berlin,BMF,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Bundesdruckerei
Bundesgesellschaft für Endlagerung,GmbH,Peine,BMUKN,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Bundesgesellschaft_für_Endlagerung
Bundesrepublik Deutschland – Finanzagentur,GmbH,Frankfurt am Main,BMF,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Bundesrepublik_Deutschland_–_Finanzagentur_GmbH
BVVG Bodenverwertungs- und -verwaltungs,GmbH,Berlin,BMF,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/BVVG_Bodenverwertungs-_und_-verwaltungs_GmbH
Bw Bekleidungsmanagement,GmbH,Köln,BMVg,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Bw_Bekleidungsmanagement
BwConsulting,GmbH,Köln,BMVg,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/BwConsulting
BwFuhrparkService,GmbH,Troisdorf,BMVg,Deutsche Bahn,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/BwFuhrparkService
BWI,GmbH,Meckenheim,BMVg,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/BWI_GmbH
CISPA – Helmholtz-Zentrum für Informationssicherheit,gGmbH,Saarbrücken,BMFTR,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/CISPA_–_Helmholtz-Zentrum_für_Informationssicherheit
Commerzbank,AG,Frankfurt am Main,BMF,SoFFin,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,39.867 (Vollzeitäquivalent),26. Februar 1870,Frankfurt am Main,,https://www.commerzbank.de/,https://de.wikipedia.org/wiki/Commerzbank
coparion,GmbH & Co. KG,Köln,BMWE,ERP-Sondervermögen,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Coparion?action=edit&redlink=1
CureVac,N.V.,Tübingen,BMWE,KfW,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/CureVac
DBFZ Deutsches Biomasseforschungszentrum,gGmbH,Leipzig,BMLEH,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Deutsches_Biomasseforschungszentrum
DEGES Deutsche Einheit Fernstraßenplanungs- und -bau,GmbH,Berlin,BMV,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Deutsche_Einheit_Fernstraßenplanungs-_und_-bau_GmbH
DeepTech & Climate Fonds,GmbH & Co. KG,Bonn,BMWE,ERP-Sondervermögen,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,
Deutsche Akkreditierungsstelle (DAkkS),GmbH,Berlin,BMWE,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Deutsche_Akkreditierungsstelle
Deutsche Bahn,AG,Berlin,BMV,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Deutsche_Bahn
Deutsche Energie-Agentur (dena),GmbH,Berlin,BMWE,KfW,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Deutsche_Energie-Agentur
Deutsche LNG Terminal,GmbH,Düsseldorf,BMVg,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,
Deutsche Gesellschaft für Internationale Zusammenarbeit,GmbH,Bonn und Eschborn,BMZ,–,mittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,,,,,,https://de.wikipedia.org/wiki/Deutsche_Gesellschaft_für_Internationale_Zusammenarbeit
Deutsche Investitions- und Entwicklungsgesellschaft,GmbH,Köln,,KfW,unmittelbar,Privatrechtliche Unternehmen mit Geschäftstätigkeit,770,14. September 1962,Kämmergasse 2250676 Köln,,https://www.deginvest.de/,https://de.wikipedia.org/wiki/Deutsche_Investitions-_und_Entwicklungsgesellschaft
