id;excel_id;schema_version;name;kuerzel;typ;rechtsform;ebene;sitz;bundesland;koordinaten;gruendungsjahr;aufgeloest;aufgeloest_jahr;zustaendigkeit;website;rechtsgrundlage;haushalt_mio_eur;haushalt_jahr;beschaeftigte;beschaeftigte_jahr;ministerium_id;ressort;klassifikation;anmerkung;beziehungen;quellen;daten_qualitaet;recherche_datum;recherche_agent_version
aa;;1.0;Auswärtiges Amt;AA;Ministerium;Oberste Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";1951;false;;Außenpolitik, diplomatische Beziehungen, konsularische Angelegenheiten, Europapolitik;https://www.auswaertiges-amt.de;Grundgesetz Art. 32, 59, 73 Abs. 1 Nr. 1;5893.2;2025;13600;2024;;;;;[];"[""https://www.auswaertiges-amt.de"", ""https://www.bundeshaushalt.de""]";"{""vollstaendigkeit_prozent"": 91.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
absdeuforholhol_2;2;1.0;Absatzförderungsfonds der deutschen Forst- und Holzwirtschaft - Holzabsatzfonds;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Wirtschaftsförderung;https://www.service.bund.de;;177.32;2025;;;bmelh;Bundesministerium für Ernährung und Landwirtschaft (BMEL);Wirtschaftsförderung;Finanzierung über das Ressort Bundesministerium für Ernährung und Landwirtschaft (BMEL);"[{""zu_id"": ""bmelh"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
absdeulanernabs_3;3;1.0;Absatzförderungsfonds der deutschen Land- und Ernährungswirtschaft - Absatzfonds;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Wirtschaftsförderung;https://www.service.bund.de;;125.0;2025;8;2024;bmelh;Bundesministerium für Ernährung und Landwirtschaft (BMEL);Wirtschaftsförderung;Finanzierung über das Ressort Bundesministerium für Ernährung und Landwirtschaft (BMEL);"[{""zu_id"": ""bmelh"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 75.0, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ahk_49141;49141;1.0;Repräsentanz der Deutschen Wirtschaft in Belarus (AHK);;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Handwerkskammer;https://www.service.bund.de;;201.05;2025;;;bmwi;Bundesministerium für Wirtschaft und Klimaschutz (BMWK);Handwerkskammer;Finanzierung über das Ressort Bundesministerium für Wirtschaft und Klimaschutz (BMWK);"[{""zu_id"": ""bmwi"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
ahkrus_49296;49296;1.0;AHK Russland;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Wirtschaftsförderung;https://www.service.bund.de;;;;;;bmwi;Bundesministerium für Wirtschaft und Klimaschutz (BMWK);Wirtschaftsförderung;Finanzierung über das Ressort Bundesministerium für Wirtschaft und Klimaschutz (BMWK);"[{""zu_id"": ""bmwi"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
akafürraulan_8;8;1.0;Akademie für Raumforschung und Landesplanung;;Bundesanstalt;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Akademie;https://www.service.bund.de;;;;;;bmbfsj;Bundesministerium für Bildung und Forschung (BMBF);Akademie;Finanzierung über das Ressort Bundesministerium für Bildung und Forschung (BMBF);"[{""zu_id"": ""bmbfsj"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
akakün_7;7;1.0;Akademie der Künste;;KdöR;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Akademie der Künste;https://www.service.bund.de;;;;;;bkamt;Beauftragte der Bundesregierung für Kultur und Medien (BKM);Akademie der Künste;Finanzierung über das Ressort Beauftragte der Bundesregierung für Kultur und Medien (BKM);"[{""zu_id"": ""bkamt"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
amtfürhee_580;580;1.0;Amt für Heeresentwicklung;;Bundesoberbehörde;Bundesbehörde;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Bundeswehr;https://www.bundeswehr.de/de/organisation/heer/organisation/amt-fuer-heeresentwicklung;;;;;;bmvg;Bundesministerium der Verteidigung (BMVg);Bundeswehr;Finanzierung über das Ressort Bundesministerium der Verteidigung (BMVg);"[{""zu_id"": ""bmvg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.bundeswehr.de/de/organisation/heer/organisation/amt-fuer-heeresentwicklung""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
amtfürmilabs_12;12;1.0;Amt für den Militärischen Abschirmdienst;;Bundesoberbehörde;Dienststelle der Bundeswehrverwaltung;Bund;Berlin;Berlin;"{""lat"": null, ""lon"": null}";;false;;Geheimdienst;https://www.bundeswehr.de;;302.14;2025;;;bmvg;Bundesministerium der Verteidigung (BMVg);Geheimdienst;Aggregiert unter Bundesministerium der Verteidigung (BMVg);"[{""zu_id"": ""bmvg"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.bundeswehr.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
amtfürnechei_15;15;1.0;Amt für Neckarausbau Heidelberg;;Bundesoberbehörde;Bundesbehörde;Bund;Heidelberg;Baden-Württemberg;"{""lat"": null, ""lon"": null}";;false;;Bau;https://www.service.bund.de;;;;;;bmv;Bundesministerium für Digitales und Verkehr (BMDV);Bau;Finanzierung über das Ressort Bundesministerium für Digitales und Verkehr (BMDV);"[{""zu_id"": ""bmv"", ""typ"": ""UNTERSTELLT"", ""richtung"": ""eingehend"", ""seit"": null, ""quelle"": null}]";"[""https://www.service.bund.de""]";"{""vollstaendigkeit_prozent"": 66.7, ""zuletzt_verifiziert"": ""2026-06-06"", ""verifikation_noetig"": false}";2026-06-06;2.0
