von;zu;typ;richtung;seit;quelle
absdeuforholhol_2;bmelh;UNTERSTELLT;eingehend;;
absdeulanernabs_3;bmelh;UNTERSTELLT;eingehend;;
ahk_49141;bmwi;UNTERSTELLT;eingehend;;
ahkrus_49296;bmwi;UNTERSTELLT;eingehend;;
akafürraulan_8;bmbfsj;UNTERSTELLT;eingehend;;
akakün_7;bkamt;UNTERSTELLT;eingehend;;
amtfürhee_580;bmvg;UNTERSTELLT;eingehend;;
amtfürmilabs_12;bmvg;UNTERSTELLT;eingehend;;
amtfürnechei_15;bmv;UNTERSTELLT;eingehend;;
antbun_16;bmbfsj;UNTERSTELLT;eingehend;;
aokbunegb_52177;bmg;UNTERSTELLT;eingehend;;
arbfürstäbauwoh_16833;bmas;UNTERSTELLT;eingehend;;
arblandie_14157;bmas;UNTERSTELLT;eingehend;;
arthee_36;bmvg;UNTERSTELLT;eingehend;;
astins_37;bmbfsj;UNTERSTELLT;eingehend;;
audbkk_6574;bmas;UNTERSTELLT;eingehend;;
ausamt_43;aa;UNTERSTELLT;eingehend;;
ausfürdigsta_52044;bt;UNTERSTELLT;eingehend;;
ausmun_41;bmvg;UNTERSTELLT;eingehend;;
ausspeope_42;bmvg;UNTERSTELLT;eingehend;;
autnor_11168;bmv;UNTERSTELLT;eingehend;;
ba;bmas;RECHTSAUFSICHT;eingehend;1952;
baaInBw;bmvg;UNTERSTELLT;eingehend;2012;
bafin;bmf;RECHTSAUFSICHT;eingehend;2002;
bafin;dbb;KOORDINIERT_MIT;ausgehend;2002;
bahbkk_6575;bmas;UNTERSTELLT;eingehend;;
bamf;bmi;UNTERSTELLT;eingehend;1953;
bargek_44;bmas;UNTERSTELLT;eingehend;;
base;bmuv;UNTERSTELLT;eingehend;2014;
bast;bmv;UNTERSTELLT;eingehend;1951;
baua;bmas;UNTERSTELLT;eingehend;1996;
bbk;bmi;UNTERSTELLT;eingehend;2004;
bbk;thw;KOORDINIERT_MIT;ausgehend;2004;
beaaufsexkin_159;bmas;UNTERSTELLT;eingehend;;
beabunfürakzsex_49839;bmbfsj;UNTERSTELLT;eingehend;;
beabunfüranlbet_48946;bmi;UNTERSTELLT;eingehend;;
beabunfürausnat_48;bmi;UNTERSTELLT;eingehend;;
beabunfürbelmen_50;bmas;UNTERSTELLT;eingehend;;
beabunfürbelpat_51;bmg;UNTERSTELLT;eingehend;;
beabunfürberumz_49;bmv;UNTERSTELLT;eingehend;;
beabunfürdeueis_50153;bmv;UNTERSTELLT;eingehend;;
beabunfürfraabr_154;aa;UNTERSTELLT;eingehend;;
beabunfürinf_45;bmi;UNTERSTELLT;eingehend;;
beabunfürjüdleb_48939;bmi;UNTERSTELLT;eingehend;;
beabunfürkulmed_155;bkamt;UNTERSTELLT;eingehend;;
beabunfürmen_46;bmjv;UNTERSTELLT;eingehend;;
beabunfürmenhum_156;aa;UNTERSTELLT;eingehend;;
beabunfürmenjus_48945;bmjv;UNTERSTELLT;eingehend;;
beabunfürmigflü_47;bkamt;UNTERSTELLT;eingehend;;
beabunfürmit_157;bmwi;UNTERSTELLT;eingehend;;
beabunfürnac_52;bkamt;UNTERSTELLT;eingehend;;
beabunfürost_53;bmwi;UNTERSTELLT;eingehend;;
beabunfürrelwel_48950;bmi;UNTERSTELLT;eingehend;;
beabunfürsch_48948;bmv;UNTERSTELLT;eingehend;;
beabunfürspoehr_51929;bmi;UNTERSTELLT;eingehend;;
beabunfürsucdro_326;bmg;UNTERSTELLT;eingehend;;
beafürdeufrazus_158;aa;UNTERSTELLT;eingehend;;
beafürnacbun_48938;bkamt;UNTERSTELLT;eingehend;;
beiardzdfdeu_50242;bkamt;UNTERSTELLT;eingehend;;
berbau_237;bmas;UNTERSTELLT;eingehend;;
berbkk_6576;bmas;UNTERSTELLT;eingehend;;
berenetexelemed_240;bmas;UNTERSTELLT;eingehend;;
berfürgeswoh_241;bmas;UNTERSTELLT;eingehend;;
berhanwar_243;bmas;UNTERSTELLT;eingehend;;
berholmet_244;bmas;UNTERSTELLT;eingehend;;
berkle_162;bmv;UNTERSTELLT;eingehend;;
berkob_163;bmv;UNTERSTELLT;eingehend;;
bernahgas_245;bmas;UNTERSTELLT;eingehend;;
berrohcheind_4048;bmas;UNTERSTELLT;eingehend;;
berverposlogtel_242;bmas;UNTERSTELLT;eingehend;;
berverposlogtel_33201;bmas;UNTERSTELLT;eingehend;;
besbuninn_246;bmi;UNTERSTELLT;eingehend;;
besforgbr_51656;bmbfsj;UNTERSTELLT;eingehend;;
bet_52010;bmg;UNTERSTELLT;eingehend;;
bet_7774;bmg;UNTERSTELLT;eingehend;;
betmob_6587;bmas;UNTERSTELLT;eingehend;;
bettec_51991;bmg;UNTERSTELLT;eingehend;;
bevbunfürpfl_48947;bmg;UNTERSTELLT;eingehend;;
bewärz_52199;bt;UNTERSTELLT;eingehend;;
bfarm;bmg;UNTERSTELLT;eingehend;1994;
bfn;bmuv;UNTERSTELLT;eingehend;1993;
bfv;bmi;UNTERSTELLT;eingehend;1950;
bibb;bmbfsj;UNTERSTELLT;eingehend;2025;
bilbun_15651;bmvg;UNTERSTELLT;eingehend;;
bima;bmf;RECHTSAUFSICHT;eingehend;2005;
bka;bmi;UNTERSTELLT;eingehend;1951;
bkamt;bnd;FACHAUFSICHT;ausgehend;1949;
